Results,EUR/USD Close,EUR/GBP Close,EUR/JPY Close
Average,  1.332,  0.847,125.069
Minimum,   1.192,   0.778,  94.324
Maximum,   1.483,   0.912, 11236.000
Std,   0.058,   0.029, 350.644
# In Calc, 1006, 1006, 1006

Date,EUR/USD Close,EUR/GBP Close,EUR/JPY Close
2011-08-15,1.4442,0.8814,110.93
2011-08-16,1.4411,0.8748,110.6
2011-08-17,1.4439,0.8725,110.44
2011-08-18,1.4325,0.8677,109.62
2011-08-19,1.4393,0.8733,110.1
2011-08-22,1.4369,0.8723,110.31
2011-08-23,1.4437,0.8745,110.73
2011-08-24,1.4421,0.8801,111.02
2011-08-25,1.4383,0.883,111.52
2011-08-26,1.4496,0.8867,111.15
2011-08-29,1.4512,0.8844,111.48
2011-08-30,1.4462,0.8861,110.88
2011-08-31,1.4379,0.885,110.11
2011-09-01,1.427,0.8819,109.6
2011-09-02,1.4192,0.8749,109
2011-09-05,1.4092,0.8751,108.34
2011-09-06,1.3996,0.878,108.7
2011-09-07,1.409,0.8818,108.93
2011-09-08,1.3892,0.8699,107.62
2011-09-09,1.3663,0.8603,105.83
2011-09-12,1.3616,0.8602,105.29
2011-09-13,1.3695,0.8672,105.28
2011-09-14,1.3768,0.872,105.47
2011-09-15,1.3878,0.8784,106.35
2011-09-16,1.3791,0.8732,105.94
2011-09-19,1.3698,0.8716,104.81
2011-09-20,1.3665,0.8689,104.36
2011-09-21,1.3607,0.8766,104.32
2011-09-22,1.3462,0.8772,102.68
2011-09-23,1.3502,0.8724,103.5
2011-09-26,1.3495,0.8677,103.16
2011-09-27,1.3596,0.8696,104.31
2011-09-28,1.355,0.8696,103.64
2011-09-29,1.3585,0.8705,104.3
2011-09-30,1.3395,0.8589,103.23
2011-10-03,1.3224,0.8545,101.26
2011-10-04,1.3343,0.8625,102.58
2011-10-05,1.3342,0.863,102.4
2011-10-06,1.3443,0.8699,102.99
2011-10-07,1.3395,0.8609,102.95
2011-10-10,1.3637,0.8703,104.51
2011-10-11,1.3674,0.8759,104.79
2011-10-12,1.3803,0.8751,106.66
2011-10-13,1.379,0.8746,105.99
2011-10-14,1.3875,0.8777,107.15
2011-10-17,1.3748,0.8726,105.58
2011-10-18,1.3788,0.8759,105.85
2011-10-19,1.375,0.8716,105.59
2011-10-20,1.3784,0.8724,105.93
2011-10-21,1.3869,0.8697,105.59
2011-10-24,1.3925,0.871,105.9
2011-10-25,1.391,0.8691,105.6
2011-10-26,1.3902,0.8705,106.06
2011-10-27,1.4179,0.8814,107.66
2011-10-28,1.4165,0.8783,107.29
2011-10-31,1.384,0.8603,108.16
2011-11-01,1.3678,0.8585,107.23
2011-11-02,1.3745,0.8618,107.32
2011-11-03,1.3831,0.8621,107.93
2011-11-04,1.3769,0.8587,107.61
